time,iMotor,pIn,pOut,qOut,wMotor,fault
1.67130333979604,26.6818370952617,-0.12612873888362,7.2290881355182,36.0626525349361,1922.20919265518,"Leak P1, Worn Bearing"
1.67230333979604,26.3520785407226,-0.158698505270743,7.22955381053413,36.358797625734,1908.44524228192,"Leak P1, Worn Bearing"
1.67330333979604,26.1339396983395,-0.176974130486367,7.2353522782995,37.1098431147951,1896.14950824095,"Leak P1, Worn Bearing"
1.67430333979604,26.0401800154891,-0.187358558074869,7.24486361543001,38.1530613593436,1885.14854864875,"Leak P1, Worn Bearing"
1.67530333979604,26.0252249721907,-0.195049797918388,7.25201791350881,38.8970706691622,1873.9471642487,"Leak P1, Worn Bearing"
1.67630333979604,26.1232590444529,-0.196458615733169,7.25945113740569,39.6173247847107,1863.78007187444,"Leak P1, Worn Bearing"
1.67730333979604,26.3672575458085,-0.18753746843428,7.27007929324871,40.6141005549663,1855.96588267868,"Leak P1, Worn Bearing"
1.67830333979604,26.5584095561338,-0.186398484471703,7.26404266107361,39.9039393480712,1844.57304950468,"Leak P1, Worn Bearing"
1.67930333979604,26.896979237072,-0.170654124876704,7.26174684684764,39.5240143719416,1836.34507005883,"Leak P1, Worn Bearing"
1.68030333979604,27.237404092422,-0.156785277432104,7.24930682168346,38.0767187047738,1827.09586013255,"Leak P1, Worn Bearing"
1.68130333979604,27.7217979577292,-0.138079592409096,7.24187457592406,37.0626818814193,1821.75201612545,"Leak P1, Worn Bearing"
1.68230333979604,27.8660618947718,-0.166942624172053,7.19230742436095,31.7455334692665,1805.44087646762,"Leak P1, Worn Bearing"
1.68330333979604,28.4628484564879,-0.156057489779455,7.18150830745526,30.1913226553133,1803.51107986479,"Leak P1, Worn Bearing"
1.68430333979604,29.083041797246,-0.143374750307167,7.20031527908975,32.6989707006332,1801.62395000739,"Leak P1, Worn Bearing"
1.68530333979604,29.5007699898678,-0.152487050081638,7.18879111328114,31.3353922012636,1793.07265988862,"Leak P1, Worn Bearing"
1.68630333979604,30.2302815407298,-0.132835948765986,7.20250885385253,32.5283595451224,1794.49249524682,"Leak P1, Worn Bearing"
1.68730333979604,30.6511351764616,-0.145995355854821,7.18112462316651,30.1469078015193,1786.4216211718,"Leak P1, Worn Bearing"
1.68830333979604,31.1824163280557,-0.149487076472685,7.16736918567287,28.458717261326,1782.30370638249,"Leak P1, Worn Bearing"
1.68930333979604,31.754223096536,-0.149736698543505,7.15511307641702,26.8466563219602,1780.10697065208,"Leak P1, Worn Bearing"
1.69030333979604,32.5364641328479,-0.129181451895286,7.16223343902918,27.0907179045725,1785.3834972371,"Leak P1, Worn Bearing"
1.69130333979604,32.9333497396071,-0.146815663145732,7.13002630838218,23.3127840812606,1779.47006762048,"Leak P1, Worn Bearing"
1.69230333979604,33.5719702342161,-0.139196088482538,10,23.9796335203723,1782.33051890724,"Leak P1, Worn Bearing"
1.69330333979604,34.0483320231191,-0.144831654673504,7.14222548096452,25.3900522024503,1780.74931006265,"Leak P1, Worn Bearing"
1.69430333979604,34.6957557313466,-0.143678706724598,7.17107186785816,28.7174659959706,1785.07900556585,"Leak P1, Worn Bearing"
1.69530333979604,35.1327944340429,-0.154157750661691,7.18065203240102,30.0164121430516,1783.17871731307,"Leak P1, Worn Bearing"
1.69630333979604,35.4696147052551,-0.171058439373618,7.18080638108765,30.2787997690074,1778.42788677333,"Leak P1, Worn Bearing"
1.69730333979604,35.9655695304836,-0.168703526732905,7.19631354852713,31.9898690501011,1778.97052362421,"Leak P1, Worn Bearing"
1.69830333979604,36.2754837931611,-0.181554721207238,7.19181021084743,31.6209362074925,1773.88097465018,"Leak P1, Worn Bearing"
1.69930333979604,36.5211001444858,-0.197126785824944,7.17851636545726,30.2983483436829,1767.05203886725,"Leak P1, Worn Bearing"
1.70030333979604,37.128927549013,-0.172309442712161,7.19849471352699,32.2302642634796,1772.06363676248,"Leak P1, Worn Bearing"
1.70130333979604,37.6542252918656,-0.152064041487082,7.20690268397315,32.9311389993935,1774.99105238562,"Leak P1, Worn Bearing"
1.70230333979604,37.819304758449,-0.166564173257835,10,29.6079461004108,1767.22367590736,"Leak P1, Worn Bearing"
1.70330333979604,38.1319755106959,-0.167299269417703,7.15633078501757,27.3430352214305,1765.02235316373,"Leak P1, Worn Bearing"
1.70430333979604,38.686692633967,-0.141934178906919,7.16389085833285,27.6822232100493,1773.42945023568,"Leak P1, Worn Bearing"
1.70530333979604,38.8499402983675,-0.130978584808232,7.15849698788441,26.5959364418919,1779.60021040253,"Leak P1, Worn Bearing"
1.70630333979604,38.8609187889991,-0.135159007743118,7.19353929296256,32.5933035309997,1780.81638946398,"Leak P1, Worn Bearing"
1.70730333979604,38.8745953793833,-0.136863074957559,7.19989048314284,32.4402599102298,1781.73350787411,"Leak P1, Worn Bearing"
1.70830333979604,38.9960663870653,-0.12860957086179,7.20539069652267,32.8727182626168,1786.13997252223,"Leak P1, Worn Bearing"
1.70930333979604,39.0352844069412,-0.129401209295216,7.19923395526165,32.0778743919561,1788.04726203354,"Leak P1, Worn Bearing"
1.71030333979604,38.8434801343259,-0.154121025100404,10,28.583577150604,1782.76559949408,"Leak P1, Worn Bearing"
1.71130333979604,39.2231404995078,-0.122526080116033,7.18845287881713,30.4350662252733,1795.68193837041,"Leak P1, Worn Bearing"
1.71230333979604,39.1742942344499,-0.134615411878224,7.16462111211716,27.655816831708,1795.18190977546,"Leak P1, Worn Bearing"
1.71330333979604,39.2748384372347,-0.132857635686967,7.16399281982831,27.9738818789905,1799.58359759951,"Leak P1, Worn Bearing"
